epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,3302.46,1.39606,0.90839,1.17458,0.73892,0.54376,0.68222,0.43346,1.65415,0.94929,1.54529,0.00980345,0.00980345,0.00980345
128,3328.59,1.37946,0.89767,1.17092,0.74305,0.53685,0.67976,0.43743,1.62455,0.93614,1.5311,0.00980034,0.00980034,0.00980034
129,3354.55,1.38519,0.9042,1.17121,0.75796,0.53823,0.68833,0.44559,1.61176,0.92074,1.49365,0.00979721,0.00979721,0.00979721
130,3380.39,1.36676,0.88566,1.16419,0.75798,0.53979,0.69042,0.45151,1.59072,0.90069,1.49886,0.00979405,0.00979405,0.00979405
131,3406.36,1.37948,0.88528,1.16589,0.75225,0.53739,0.68524,0.44427,1.60452,0.92525,1.5308,0.00979087,0.00979087,0.00979087
132,3431.95,1.36167,0.87944,1.15517,0.75495,0.53688,0.68686,0.44236,1.62431,0.91352,1.52726,0.00978766,0.00978766,0.00978766
133,3457.42,1.3683,0.8893,1.16404,0.7577,0.54695,0.69424,0.45488,1.57623,0.89685,1.49363,0.00978443,0.00978443,0.00978443
134,3483.02,1.37934,0.88697,1.16165,0.75705,0.54304,0.68979,0.44459,1.6052,0.91697,1.50799,0.00978118,0.00978118,0.00978118
135,3509.1,1.37518,0.88631,1.16125,0.76172,0.54611,0.6942,0.45221,1.59509,0.89993,1.50485,0.0097779,0.0097779,0.0097779
136,3535.05,1.36233,0.88573,1.16634,0.76092,0.54339,0.6936,0.45258,1.59147,0.89699,1.50343,0.0097746,0.0097746,0.0097746
137,3560.85,1.36718,0.87831,1.16051,0.7549,0.53831,0.68619,0.44659,1.59804,0.92108,1.5331,0.00977127,0.00977127,0.00977127
138,3586.63,1.36706,0.88551,1.16467,0.74301,0.53947,0.6823,0.44318,1.60418,0.91835,1.52727,0.00976792,0.00976792,0.00976792
139,3612.67,1.36543,0.88119,1.16188,0.74837,0.54279,0.68682,0.44895,1.59741,0.90739,1.53003,0.00976455,0.00976455,0.00976455
140,3638.52,1.3703,0.88408,1.16311,0.75356,0.54395,0.68969,0.44735,1.5981,0.91656,1.51722,0.00976115,0.00976115,0.00976115
141,3664.19,1.37332,0.88398,1.1639,0.73595,0.53156,0.67406,0.42619,1.64676,0.95319,1.57124,0.00975773,0.00975773,0.00975773
142,3689.72,1.35442,0.88575,1.16959,0.76319,0.53884,0.68745,0.44703,1.60327,0.90751,1.51652,0.00975429,0.00975429,0.00975429
143,3715.35,1.3594,0.87485,1.15945,0.746,0.54117,0.68302,0.44683,1.59426,0.91487,1.53965,0.00975082,0.00975082,0.00975082
144,3741.33,1.36928,0.87047,1.15029,0.75325,0.5445,0.68872,0.44733,1.61053,0.91837,1.55085,0.00974733,0.00974733,0.00974733
145,3767.28,1.36321,0.87087,1.15601,0.75223,0.54679,0.69107,0.45442,1.58013,0.90131,1.52474,0.00974381,0.00974381,0.00974381
146,3793.2,1.35866,0.88369,1.16521,0.73949,0.5394,0.68215,0.44023,1.61704,0.93744,1.53035,0.00974027,0.00974027,0.00974027
147,3819.23,1.3683,0.88375,1.16274,0.74504,0.54576,0.68725,0.44056,1.63269,0.91871,1.53198,0.00973671,0.00973671,0.00973671
148,3844.94,1.37416,0.88669,1.16408,0.74002,0.54081,0.68075,0.44329,1.60371,0.93396,1.55681,0.00973312,0.00973312,0.00973312
149,3870.8,1.36301,0.87283,1.15667,0.76295,0.53795,0.69014,0.45562,1.57212,0.89047,1.50148,0.00972951,0.00972951,0.00972951
150,3896.71,1.35972,0.86213,1.1444,0.76461,0.53013,0.68653,0.44746,1.59085,0.9032,1.51068,0.00972588,0.00972588,0.00972588
151,3922.47,1.35891,0.86786,1.15767,0.7591,0.53393,0.68577,0.44341,1.60356,0.8941,1.50658,0.00972222,0.00972222,0.00972222
152,3948.28,1.35139,0.86746,1.15464,0.75846,0.53072,0.68574,0.45512,1.56468,0.89271,1.52277,0.00971854,0.00971854,0.00971854
153,3974.01,1.34482,0.86667,1.15382,0.77033,0.53727,0.69344,0.45884,1.56154,0.88313,1.49504,0.00971484,0.00971484,0.00971484
154,4000,1.34839,0.85514,1.14292,0.76499,0.55107,0.6992,0.45762,1.59034,0.88838,1.53192,0.00971111,0.00971111,0.00971111
155,4026,1.35132,0.86405,1.15054,0.75545,0.55209,0.69568,0.45514,1.59936,0.90503,1.54525,0.00970736,0.00970736,0.00970736
156,4051.7,1.3403,0.86112,1.15525,0.76489,0.54609,0.69727,0.4584,1.56943,0.89352,1.52089,0.00970359,0.00970359,0.00970359
157,4077.32,1.3444,0.8582,1.14481,0.77499,0.54799,0.69988,0.46419,1.54989,0.88126,1.49217,0.00969979,0.00969979,0.00969979
158,4103.14,1.33375,0.84559,1.13781,0.77096,0.55504,0.70437,0.46683,1.53847,0.86847,1.47585,0.00969597,0.00969597,0.00969597
159,4129.15,1.3332,0.83654,1.12974,0.76787,0.5503,0.69938,0.46393,1.55106,0.89776,1.5028,0.00969212,0.00969212,0.00969212
160,4155.11,1.32594,0.83898,1.13461,0.7718,0.54689,0.69918,0.46851,1.53285,0.87526,1.50985,0.00968825,0.00968825,0.00968825
161,4181.18,1.3175,0.83897,1.13806,0.7646,0.55567,0.70297,0.4693,1.5353,0.86724,1.4866,0.00968436,0.00968436,0.00968436
162,4206.89,1.32933,0.84316,1.13904,0.76599,0.55528,0.70302,0.46841,1.54471,0.86593,1.50544,0.00968045,0.00968045,0.00968045
163,4232.92,1.33012,0.85036,1.14444,0.76025,0.54496,0.6957,0.46472,1.54182,0.87182,1.48769,0.00967651,0.00967651,0.00967651
164,4258.38,1.3217,0.84404,1.14285,0.76484,0.55414,0.70246,0.4695,1.53382,0.86398,1.50038,0.00967255,0.00967255,0.00967255
165,4284.39,1.32141,0.8417,1.13998,0.76684,0.55502,0.70264,0.4688,1.53783,0.87161,1.49058,0.00966856,0.00966856,0.00966856
166,4310.29,1.32977,0.85215,1.14777,0.77556,0.54848,0.70124,0.46599,1.54639,0.86382,1.49888,0.00966456,0.00966456,0.00966456
167,4336.4,1.32405,0.8384,1.13641,0.77289,0.55127,0.70313,0.46522,1.55392,0.86334,1.48177,0.00966053,0.00966053,0.00966053
168,4362.34,1.32581,0.84193,1.13718,0.77387,0.54979,0.70358,0.46779,1.54718,0.8717,1.48977,0.00965647,0.00965647,0.00965647
169,4388.15,1.33448,0.8361,1.12922,0.76984,0.55962,0.70625,0.47106,1.5389,0.86462,1.49603,0.00965239,0.00965239,0.00965239
170,4414.26,1.32259,0.83718,1.13555,0.76864,0.5616,0.70774,0.47403,1.52894,0.86276,1.47976,0.00964829,0.00964829,0.00964829
171,4439.8,1.31834,0.83226,1.13256,0.76918,0.55556,0.7046,0.47222,1.53073,0.86225,1.48887,0.00964417,0.00964417,0.00964417
172,4465.67,1.31876,0.83835,1.1366,0.77062,0.55737,0.70604,0.4729,1.53246,0.86028,1.49801,0.00964002,0.00964002,0.00964002
173,4491.47,1.32438,0.83767,1.13706,0.75836,0.55901,0.70272,0.46491,1.56383,0.8813,1.51085,0.00963585,0.00963585,0.00963585
174,4517.24,1.31411,0.82616,1.12564,0.76498,0.56296,0.70638,0.46947,1.55001,0.86455,1.51033,0.00963166,0.00963166,0.00963166
175,4542.88,1.30757,0.83019,1.13434,0.77041,0.55557,0.70548,0.47338,1.5197,0.8617,1.48111,0.00962744,0.00962744,0.00962744
176,4568.82,1.31494,0.83248,1.13786,0.77486,0.55208,0.70535,0.47233,1.52548,0.85191,1.46275,0.0096232,0.0096232,0.0096232
177,4594.62,1.30841,0.8266,1.13058,0.76639,0.56806,0.71158,0.47941,1.50958,0.84161,1.46989,0.00961894,0.00961894,0.00961894
178,4620.61,1.30363,0.82957,1.13322,0.77063,0.55676,0.70778,0.47757,1.51679,0.8478,1.48281,0.00961466,0.00961466,0.00961466
179,4646.21,1.3089,0.82605,1.12775,0.78161,0.55706,0.7108,0.48296,1.4932,0.83852,1.46136,0.00961035,0.00961035,0.00961035
180,4671.86,1.29989,0.82427,1.13363,0.77833,0.55942,0.71206,0.48321,1.49905,0.83577,1.45949,0.00960602,0.00960602,0.00960602
181,4697.55,1.3095,0.81493,1.1199,0.76592,0.56299,0.71023,0.478,1.51438,0.84647,1.46555,0.00960166,0.00960166,0.00960166
